run_id,timestamp,service_name,status,vulnerabilities_detected,patches_applied,local_tests_passed,duration_seconds
run_000000,2026-01-01T00:00:00Z,Energy-Grid-Optimizer,READY_FOR_PR,1,2,True,0.12957768499833397
run_000001,2026-01-01T00:01:00Z,Emergency-Dispatch-Service,READY_FOR_PR,4,3,True,0.6527983096201767
run_000002,2026-01-01T00:02:00Z,Waste-Route-Planner,READY_FOR_PR,2,4,True,0.13425681218513083
run_000003,2026-01-01T00:03:00Z,Municipal-Taxation-DB,READY_FOR_PR,1,0,True,1.1809840398673388
run_000004,2026-01-01T00:04:00Z,Energy-Grid-Optimizer,REVIEW_NEEDED,0,1,True,0.5463687495963995
run_000005,2026-01-01T00:05:00Z,Citizen-Feedback-Portal,REVIEW_NEEDED,2,4,True,0.7059153005806813
run_000006,2026-01-01T00:06:00Z,Energy-Grid-Optimizer,READY_WITH_ALERTS,1,1,True,0.22907959818598495
run_000007,2026-01-01T00:07:00Z,Waste-Route-Planner,READY_FOR_PR,1,1,True,2.6444483366883773
run_000008,2026-01-01T00:08:00Z,Municipal-Taxation-DB,READY_FOR_PR,2,1,False,0.2095393922374998
run_000009,2026-01-01T00:09:00Z,Emergency-Dispatch-Service,READY_WITH_ALERTS,2,2,True,0.2754535571353628
run_000010,2026-01-01T00:10:00Z,Waste-Route-Planner,READY_WITH_ALERTS,2,0,True,0.4899933231738258
run_000011,2026-01-01T00:11:00Z,Waste-Route-Planner,READY_WITH_ALERTS,4,4,True,0.8297120782400155
run_000012,2026-01-01T00:12:00Z,Citizen-Feedback-Portal,READY_FOR_PR,1,1,True,0.21022447322701138
run_000013,2026-01-01T00:13:00Z,Public-Health-Logger,READY_WITH_ALERTS,2,4,True,0.7612892973761218
run_000014,2026-01-01T00:14:00Z,Municipal-Taxation-DB,REVIEW_NEEDED,0,2,True,0.10125825193699681
run_000015,2026-01-01T00:15:00Z,Smart-Water-Billing,READY_FOR_PR,6,0,True,0.20503224603299403
run_000016,2026-01-01T00:16:00Z,Waste-Route-Planner,READY_FOR_PR,2,1,True,0.43262494169417887
run_000017,2026-01-01T00:17:00Z,Public-Health-Logger,READY_WITH_ALERTS,3,1,True,0.42842708105704175
run_000018,2026-01-01T00:18:00Z,Smart-Water-Billing,READY_WITH_ALERTS,0,3,True,2.02677331503481
run_000019,2026-01-01T00:19:00Z,Municipal-Taxation-DB,READY_FOR_PR,1,4,True,0.800830194877048
run_000020,2026-01-01T00:20:00Z,Transit-Routing-API,REVIEW_NEEDED,0,2,True,0.28345220677859717
run_000021,2026-01-01T00:21:00Z,Public-Health-Logger,READY_FOR_PR,0,3,True,0.47055081919767805
run_000022,2026-01-01T00:22:00Z,Smart-Lighting-Controller,REVIEW_NEEDED,4,4,True,0.30043685278389376
run_000023,2026-01-01T00:23:00Z,Transit-Routing-API,READY_FOR_PR,0,4,True,0.13936589388948767
run_000024,2026-01-01T00:24:00Z,Citizen-Feedback-Portal,READY_FOR_PR,2,4,True,0.7425008056362945
run_000025,2026-01-01T00:25:00Z,Energy-Grid-Optimizer,REVIEW_NEEDED,1,0,True,1.07354621270069
run_000026,2026-01-01T00:26:00Z,Emergency-Dispatch-Service,REVIEW_NEEDED,0,0,False,0.26915041821222874
run_000027,2026-01-01T00:27:00Z,Smart-Lighting-Controller,BLOCKED,4,1,True,0.2299942289869898
run_000028,2026-01-01T00:28:00Z,Citizen-Feedback-Portal,READY_FOR_PR,4,2,True,0.5390134478893169
run_000029,2026-01-01T00:29:00Z,Municipal-Taxation-DB,READY_WITH_ALERTS,2,2,False,0.9056380971194709
run_000030,2026-01-01T00:30:00Z,Citizen-Feedback-Portal,READY_FOR_PR,1,2,True,0.19340425952216028
run_000031,2026-01-01T00:31:00Z,Energy-Grid-Optimizer,READY_FOR_PR,4,0,True,0.5531800409548576
run_000032,2026-01-01T00:32:00Z,Municipal-Taxation-DB,READY_FOR_PR,5,0,True,0.16490626408726392
run_000033,2026-01-01T00:33:00Z,Smart-Lighting-Controller,READY_FOR_PR,2,3,True,1.7585573785836233
run_000034,2026-01-01T00:34:00Z,Energy-Grid-Optimizer,REVIEW_NEEDED,3,4,True,0.33152392807918124
run_000035,2026-01-01T00:35:00Z,Smart-Water-Billing,READY_FOR_PR,6,1,True,0.26140325726791014
run_000036,2026-01-01T00:36:00Z,Emergency-Dispatch-Service,READY_WITH_ALERTS,7,4,True,1.9741933493614214
run_000037,2026-01-01T00:37:00Z,Smart-Lighting-Controller,READY_WITH_ALERTS,2,1,True,1.1252510645813512
run_000038,2026-01-01T00:38:00Z,Smart-Water-Billing,READY_FOR_PR,3,0,True,1.2784173104219254
run_000039,2026-01-01T00:39:00Z,Smart-Lighting-Controller,BLOCKED,6,2,True,1.3172361975809441
run_000040,2026-01-01T00:40:00Z,Municipal-Taxation-DB,READY_FOR_PR,1,3,True,1.4576798049755475
run_000041,2026-01-01T00:41:00Z,Smart-Water-Billing,REVIEW_NEEDED,6,1,True,0.1794929935778988
run_000042,2026-01-01T00:42:00Z,Emergency-Dispatch-Service,REVIEW_NEEDED,3,1,True,0.7481939000228168
run_000043,2026-01-01T00:43:00Z,Energy-Grid-Optimizer,REVIEW_NEEDED,2,3,True,0.128183112758126
run_000044,2026-01-01T00:44:00Z,Waste-Route-Planner,READY_WITH_ALERTS,3,3,True,1.167210231346019
run_000045,2026-01-01T00:45:00Z,Citizen-Feedback-Portal,READY_FOR_PR,3,4,True,0.4828742652735113
run_000046,2026-01-01T00:46:00Z,Transit-Routing-API,READY_FOR_PR,2,3,True,0.19836389065647897
run_000047,2026-01-01T00:47:00Z,Emergency-Dispatch-Service,READY_WITH_ALERTS,2,4,True,0.13562738394782503
run_000048,2026-01-01T00:48:00Z,Smart-Water-Billing,READY_FOR_PR,4,0,True,0.7277203912187801
run_000049,2026-01-01T00:49:00Z,Waste-Route-Planner,REVIEW_NEEDED,3,3,True,1.5193892764658612
run_000050,2026-01-01T00:50:00Z,Emergency-Dispatch-Service,READY_WITH_ALERTS,0,4,True,0.18102165710367144
run_000051,2026-01-01T00:51:00Z,Smart-Water-Billing,READY_FOR_PR,1,0,True,0.2983258045951228
run_000052,2026-01-01T00:52:00Z,Public-Health-Logger,READY_FOR_PR,2,4,True,0.45969489827287946
run_000053,2026-01-01T00:53:00Z,Public-Health-Logger,READY_FOR_PR,1,3,True,0.29688452618979577
run_000054,2026-01-01T00:54:00Z,Emergency-Dispatch-Service,READY_WITH_ALERTS,5,2,True,0.4207684282573292
run_000055,2026-01-01T00:55:00Z,Public-Health-Logger,READY_FOR_PR,3,2,True,0.11442352138376807
run_000056,2026-01-01T00:56:00Z,Smart-Water-Billing,READY_WITH_ALERTS,3,1,True,1.2067229071976593
run_000057,2026-01-01T00:57:00Z,Smart-Water-Billing,READY_WITH_ALERTS,1,1,True,0.23945371655994194
run_000058,2026-01-01T00:58:00Z,Emergency-Dispatch-Service,READY_FOR_PR,1,2,True,1.2765230148315683
run_000059,2026-01-01T00:59:00Z,Waste-Route-Planner,READY_WITH_ALERTS,0,2,True,0.3592811617845222
